speed,travel_time,status,data_as_of,link_id
26.09,416,0,2025-07-14T15:43:06.000,4362244
19.88,548,0,2025-07-14T15:33:07.000,4362244
16.77,644,0,2025-07-14T15:28:07.000,4362244
13.67,788,0,2025-07-14T15:23:06.000,4362244
11.8,899,0,2025-07-14T15:18:06.000,4362244
10.56,984,0,2025-07-14T15:13:07.000,4362244
9.32,1112,0,2025-07-14T15:08:06.000,4362244
9.32,1133,0,2025-07-14T15:03:06.000,4362244
9.94,1105,0,2025-07-14T14:58:06.000,4362244
9.94,1043,0,2025-07-14T14:53:07.000,4362244
11.18,971,0,2025-07-14T14:48:07.000,4362244
11.8,902,0,2025-07-14T14:38:07.000,4362244
12.42,846,0,2025-07-14T14:33:07.000,4362244
16.15,678,0,2025-07-14T14:28:07.000,4362244
16.77,633,0,2025-07-14T14:23:07.000,4362244
18.01,601,0,2025-07-14T14:18:06.000,4362244
17.39,617,0,2025-07-14T14:13:07.000,4362244
16.77,638,0,2025-07-14T14:08:07.000,4362244
17.39,625,0,2025-07-14T14:03:06.000,4362244
17.39,630,0,2025-07-14T13:58:07.000,4362244
18.01,602,0,2025-07-14T13:53:06.000,4362244
16.77,635,0,2025-07-14T13:48:06.000,4362244
16.15,668,0,2025-07-14T13:43:07.000,4362244
15.53,686,0,2025-07-14T13:38:06.000,4362244
15.53,700,0,2025-07-14T13:33:06.000,4362244
14.91,709,0,2025-07-14T13:28:07.000,4362244
15.53,695,0,2025-07-14T13:23:06.000,4362244
15.53,703,0,2025-07-14T13:18:06.000,4362244
15.53,682,0,2025-07-14T13:13:06.000,4362244
15.53,688,0,2025-07-14T13:08:07.000,4362244
14.91,731,0,2025-07-14T13:03:06.000,4362244
14.91,732,0,2025-07-14T12:58:07.000,4362244
14.29,759,0,2025-07-14T12:53:06.000,4362244
14.29,745,0,2025-07-14T12:48:07.000,4362244
14.29,766,0,2025-07-14T12:43:06.000,4362244
13.67,772,0,2025-07-14T12:38:07.000,4362244
14.91,733,0,2025-07-14T12:33:06.000,4362244
14.91,735,0,2025-07-14T12:28:07.000,4362244
14.91,721,0,2025-07-14T12:23:07.000,4362244
