speed,travel_time,status,data_as_of,link_id
45.98,129,0,2025-07-14T15:43:03.000,4616206
43.49,134,0,2025-07-14T15:33:03.000,4616206
43.49,136,0,2025-07-14T15:28:03.000,4616206
42.25,139,0,2025-07-14T15:23:04.000,4616206
45.98,128,0,2025-07-14T15:18:03.000,4616206
44.73,131,0,2025-07-14T15:13:03.000,4616206
40.38,145,0,2025-07-14T15:08:02.000,4616206
45.36,130,0,2025-07-14T15:03:03.000,4616206
47.22,124,0,2025-07-14T14:58:03.000,4616206
51.57,115,0,2025-07-14T14:53:04.000,4616206
50.33,117,0,2025-07-14T14:48:03.000,4616206
50.95,115,0,2025-07-14T14:38:03.000,4616206
50.33,116,0,2025-07-14T14:33:03.000,4616206
44.73,131,0,2025-07-14T14:28:03.000,4616206
38.52,152,0,2025-07-14T14:23:03.000,4616206
36.66,160,0,2025-07-14T14:18:03.000,4616206
45.36,129,0,2025-07-14T14:13:03.000,4616206
47.84,122,0,2025-07-14T14:08:03.000,4616206
46.6,126,0,2025-07-14T14:03:03.000,4616206
45.36,130,0,2025-07-14T13:58:03.000,4616206
50.95,116,0,2025-07-14T13:53:03.000,4616206
52.81,111,0,2025-07-14T13:48:03.000,4616206
54.05,109,0,2025-07-14T13:43:03.000,4616206
51.57,114,0,2025-07-14T13:38:03.000,4616206
50.95,116,0,2025-07-14T13:33:03.000,4616206
54.68,108,0,2025-07-14T13:28:03.000,4616206
54.05,109,0,2025-07-14T13:23:03.000,4616206
50.33,117,0,2025-07-14T13:18:03.000,4616206
54.05,109,0,2025-07-14T13:13:03.000,4616206
54.05,109,0,2025-07-14T13:08:03.000,4616206
52.19,113,0,2025-07-14T13:03:03.000,4616206
52.19,113,0,2025-07-14T12:58:03.000,4616206
55.92,106,0,2025-07-14T12:53:04.000,4616206
54.68,108,0,2025-07-14T12:48:03.000,4616206
53.43,110,0,2025-07-14T12:43:03.000,4616206
54.05,109,0,2025-07-14T12:38:03.000,4616206
57.78,102,0,2025-07-14T12:33:03.000,4616206
54.05,109,0,2025-07-14T12:28:03.000,4616206
53.43,111,0,2025-07-14T12:23:04.000,4616206
51.57,114,0,2025-07-14T12:18:03.000,4616206
55.3,106,0,2025-07-14T12:13:03.000,4616206
55.3,106,0,2025-07-14T12:08:03.000,4616206
51.57,114,0,2025-07-14T12:03:03.000,4616206
52.81,111,0,2025-07-14T11:53:04.000,4616206
50.95,115,0,2025-07-14T11:48:03.000,4616206
52.19,113,0,2025-07-14T11:43:03.000,4616206
51.57,114,0,2025-07-14T11:38:03.000,4616206
54.05,109,0,2025-07-14T11:33:03.000,4616206
52.81,111,0,2025-07-14T11:28:03.000,4616206
55.92,105,0,2025-07-14T11:23:03.000,4616206
55.3,106,0,2025-07-14T11:18:03.000,4616206
55.3,106,0,2025-07-14T11:13:03.000,4616206
54.68,107,0,2025-07-14T11:08:03.000,4616206
