speed,travel_time,status,data_as_of,link_id
17.39,281,0,2025-07-14T15:43:03.000,4362342
17.39,282,0,2025-07-14T15:33:03.000,4362342
18.64,268,0,2025-07-14T15:28:03.000,4362342
18.01,271,0,2025-07-14T15:23:03.000,4362342
17.39,279,0,2025-07-14T15:18:03.000,4362342
18.01,279,0,2025-07-14T15:13:03.000,4362342
18.01,272,0,2025-07-14T15:08:03.000,4362342
19.88,251,0,2025-07-14T15:03:03.000,4362342
21.12,234,0,2025-07-14T14:58:03.000,4362342
20.5,245,0,2025-07-14T14:53:03.000,4362342
18.64,261,0,2025-07-14T14:48:03.000,4362342
18.01,270,0,2025-07-14T14:38:03.000,4362342
16.77,289,0,2025-07-14T14:33:03.000,4362342
16.15,308,0,2025-07-14T14:28:03.000,4362342
16.77,296,0,2025-07-14T14:23:03.000,4362342
16.77,299,0,2025-07-14T14:18:03.000,4362342
18.64,266,0,2025-07-14T14:13:03.000,4362342
22.36,220,0,2025-07-14T14:08:03.000,4362342
25.47,194,0,2025-07-14T14:03:03.000,4362342
24.85,198,0,2025-07-14T13:58:03.000,4362342
23.61,209,0,2025-07-14T13:53:03.000,4362342
21.12,237,0,2025-07-14T13:48:03.000,4362342
22.99,216,0,2025-07-14T13:43:03.000,4362342
26.09,193,0,2025-07-14T13:38:03.000,4362342
24.23,206,0,2025-07-14T13:33:03.000,4362342
22.36,222,0,2025-07-14T13:28:03.000,4362342
20.5,239,0,2025-07-14T13:23:03.000,4362342
19.88,247,0,2025-07-14T13:18:03.000,4362342
19.88,251,0,2025-07-14T13:13:03.000,4362342
20.5,239,0,2025-07-14T13:08:03.000,4362342
20.5,240,0,2025-07-14T13:03:03.000,4362342
17.39,287,0,2025-07-14T12:58:03.000,4362342
18.64,263,0,2025-07-14T12:53:03.000,4362342
25.47,197,0,2025-07-14T12:48:03.000,4362342
27.34,180,0,2025-07-14T12:43:03.000,4362342
33.55,150,0,2025-07-14T12:38:03.000,4362342
31.68,158,0,2025-07-14T12:33:03.000,4362342
31.06,161,0,2025-07-14T12:28:03.000,4362342
36.03,139,0,2025-07-14T12:23:03.000,4362342
36.03,138,0,2025-07-14T12:18:03.000,4362342
32.31,154,0,2025-07-14T12:13:03.000,4362342
31.68,158,0,2025-07-14T12:08:03.000,4362342
28.58,176,0,2025-07-14T12:03:03.000,4362342
16.15,310,0,2025-07-14T11:53:03.000,4362342
14.29,349,0,2025-07-14T11:48:03.000,4362342
14.91,328,0,2025-07-14T11:43:03.000,4362342
16.15,310,0,2025-07-14T11:38:03.000,4362342
18.01,275,0,2025-07-14T11:33:03.000,4362342
17.39,282,0,2025-07-14T11:28:03.000,4362342
19.88,249,0,2025-07-14T11:23:03.000,4362342
24.23,207,0,2025-07-14T11:18:03.000,4362342
23.61,208,0,2025-07-14T11:13:03.000,4362342
24.23,205,0,2025-07-14T11:08:03.000,4362342
24.23,205,0,2025-07-14T11:03:03.000,4362342
28.58,173,0,2025-07-14T10:58:03.000,4362342
39.14,128,0,2025-07-14T10:53:03.000,4362342
46.6,107,0,2025-07-14T10:48:03.000,4362342
46.6,106,0,2025-07-14T10:43:03.000,4362342
44.11,114,0,2025-07-14T10:38:03.000,4362342
42.87,117,0,2025-07-14T10:33:03.000,4362342
40.38,124,0,2025-07-14T10:28:03.000,4362342
45.98,108,0,2025-07-14T10:23:03.000,4362342
45.36,109,0,2025-07-14T10:18:03.000,4362342
46.6,107,0,2025-07-14T10:13:03.000,4362342
45.36,110,0,2025-07-14T10:08:03.000,4362342
44.11,113,0,2025-07-14T10:03:03.000,4362342
46.6,107,0,2025-07-14T09:58:04.000,4362342
47.22,105,0,2025-07-14T09:53:03.000,4362342
46.6,107,0,2025-07-14T09:48:03.000,4362342
47.84,104,0,2025-07-14T09:43:03.000,4362342
45.98,108,0,2025-07-14T09:38:03.000,4362342
50.95,98,0,2025-07-14T09:33:03.000,4362342
42.25,117,0,2025-07-14T09:28:03.000,4362342
43.49,114,0,2025-07-14T09:23:03.000,4362342
50.33,99,0,2025-07-14T09:18:03.000,4362342
49.08,102,0,2025-07-14T09:13:03.000,4362342
33.55,147,0,2025-07-14T09:08:03.000,4362342
19.88,251,0,2025-07-14T09:03:03.000,4362342
16.15,300,0,2025-07-14T08:58:03.000,4362342
16.77,296,0,2025-07-14T08:53:03.000,4362342
17.39,286,0,2025-07-14T08:48:03.000,4362342
21.74,231,0,2025-07-14T08:43:03.000,4362342
27.34,182,0,2025-07-14T08:38:03.000,4362342
30.44,165,0,2025-07-14T08:33:03.000,4362342
32.93,152,0,2025-07-14T08:28:03.000,4362342
35.41,141,0,2025-07-14T08:23:03.000,4362342
37.9,132,0,2025-07-14T08:18:03.000,4362342
45.98,109,0,2025-07-14T08:13:03.000,4362342
46.6,106,0,2025-07-14T08:08:04.000,4362342
52.81,94,0,2025-07-14T08:03:03.000,4362342
47.22,105,0,2025-07-14T07:58:03.000,4362342
51.57,97,0,2025-07-14T07:53:03.000,4362342
33.55,148,0,2025-07-14T07:48:03.000,4362342
21.12,238,0,2025-07-14T07:43:03.000,4362342
16.15,303,0,2025-07-14T07:38:03.000,4362342
13.04,378,0,2025-07-14T07:33:03.000,4362342
13.04,385,0,2025-07-14T07:28:03.000,4362342
12.42,395,0,2025-07-14T07:23:03.000,4362342
14.91,326,0,2025-07-14T07:18:03.000,4362342
21.12,234,0,2025-07-14T07:13:03.000,4362342
27.96,177,0,2025-07-14T07:08:03.000,4362342
38.52,130,0,2025-07-14T07:03:03.000,4362342
49.7,100,0,2025-07-14T06:58:03.000,4362342
46.6,107,0,2025-07-14T06:53:03.000,4362342
50.95,98,0,2025-07-14T06:48:03.000,4362342
51.57,96,0,2025-07-14T06:43:03.000,4362342
54.05,93,0,2025-07-14T06:38:03.000,4362342
50.95,97,0,2025-07-14T06:33:03.000,4362342
54.05,92,0,2025-07-14T06:28:03.000,4362342
52.81,94,0,2025-07-14T06:23:03.000,4362342
55.3,90,0,2025-07-14T06:18:03.000,4362342
54.68,91,0,2025-07-14T06:13:03.000,4362342
55.92,89,0,2025-07-14T06:08:03.000,4362342
58.4,85,0,2025-07-14T06:03:03.000,4362342
58.4,85,0,2025-07-14T05:58:03.000,4362342
58.4,85,0,2025-07-14T05:53:03.000,4362342
57.16,88,0,2025-07-14T05:48:03.000,4362342
57.78,86,0,2025-07-14T05:43:03.000,4362342
58.4,85,0,2025-07-14T05:38:04.000,4362342
56.54,88,0,2025-07-14T05:33:03.000,4362342
57.16,87,0,2025-07-14T05:28:04.000,4362342
55.3,90,0,2025-07-14T05:23:03.000,4362342
53.43,94,0,2025-07-14T05:18:03.000,4362342
56.54,88,0,2025-07-14T05:13:03.000,4362342
51.57,97,0,2025-07-14T05:08:03.000,4362342
54.68,91,0,2025-07-14T05:03:03.000,4362342
55.3,90,0,2025-07-14T04:58:04.000,4362342
54.05,92,0,2025-07-14T04:53:03.000,4362342
55.92,89,0,2025-07-14T04:48:03.000,4362342
55.92,89,0,2025-07-14T04:43:03.000,4362342
55.92,89,0,2025-07-14T04:38:03.000,4362342
57.78,86,0,2025-07-14T04:33:03.000,4362342
56.54,88,0,2025-07-14T04:28:03.000,4362342
57.78,86,0,2025-07-14T04:23:03.000,4362342
57.78,87,0,2025-07-14T04:18:03.000,4362342
57.16,87,0,2025-07-14T04:13:03.000,4362342
58.4,85,0,2025-07-14T04:08:03.000,4362342
55.3,90,0,2025-07-14T04:03:03.000,4362342
58.4,85,0,2025-07-14T03:58:03.000,4362342
60.27,83,0,2025-07-14T03:53:03.000,4362342
57.16,87,0,2025-07-14T03:48:03.000,4362342
57.16,87,0,2025-07-14T03:43:03.000,4362342
54.68,91,0,2025-07-14T03:38:03.000,4362342
55.3,91,0,2025-07-14T03:33:03.000,4362342
55.92,90,0,2025-07-14T03:28:03.000,4362342
53.43,93,0,2025-07-14T03:23:03.000,4362342
54.68,91,0,2025-07-14T03:18:03.000,4362342
55.3,90,0,2025-07-14T03:13:03.000,4362342
53.43,93,0,2025-07-14T03:03:03.000,4362342
51.57,96,0,2025-07-14T02:58:03.000,4362342
52.81,94,0,2025-07-14T02:53:03.000,4362342
53.43,94,0,2025-07-14T02:48:03.000,4362342
54.05,93,0,2025-07-14T02:43:03.000,4362342
52.81,95,0,2025-07-14T02:38:03.000,4362342
51.57,97,0,2025-07-14T02:33:03.000,4362342
50.95,98,0,2025-07-14T02:28:03.000,4362342
51.57,97,0,2025-07-14T02:23:03.000,4362342
54.05,93,0,2025-07-14T02:18:03.000,4362342
54.68,91,0,2025-07-14T02:13:03.000,4362342
56.54,88,0,2025-07-14T02:08:04.000,4362342
55.3,90,0,2025-07-14T02:03:03.000,4362342
54.05,92,0,2025-07-14T01:58:03.000,4362342
55.3,90,0,2025-07-14T01:53:03.000,4362342
54.05,93,0,2025-07-14T01:48:03.000,4362342
52.81,94,0,2025-07-14T01:43:04.000,4362342
53.43,94,0,2025-07-14T01:38:03.000,4362342
52.81,94,0,2025-07-14T01:33:03.000,4362342
53.43,93,0,2025-07-14T01:28:03.000,4362342
54.68,91,0,2025-07-14T01:23:03.000,4362342
50.95,98,0,2025-07-14T01:18:03.000,4362342
50.95,98,0,2025-07-14T01:13:03.000,4362342
50.33,99,0,2025-07-14T01:08:03.000,4362342
52.81,95,0,2025-07-14T01:03:03.000,4362342
53.43,93,0,2025-07-14T00:58:03.000,4362342
54.68,91,0,2025-07-14T00:53:03.000,4362342
52.19,95,0,2025-07-14T00:48:03.000,4362342
52.19,96,0,2025-07-14T00:43:03.000,4362342
48.46,103,0,2025-07-14T00:38:03.000,4362342
53.43,94,0,2025-07-14T00:33:03.000,4362342
49.08,102,0,2025-07-14T00:28:03.000,4362342
50.95,98,0,2025-07-14T00:23:03.000,4362342
51.57,97,0,2025-07-14T00:18:03.000,4362342
45.36,111,0,2025-07-14T00:13:03.000,4362342
52.19,96,0,2025-07-14T00:08:03.000,4362342
52.81,94,-101,2025-07-14T00:03:03.000,4362342
53.43,93,0,2025-07-13T23:58:04.000,4362342
49.08,102,0,2025-07-13T23:53:03.000,4362342
49.08,101,0,2025-07-13T23:48:03.000,4362342
48.46,103,0,2025-07-13T23:43:03.000,4362342
48.46,103,0,2025-07-13T23:38:03.000,4362342
39.76,125,0,2025-07-13T23:33:03.000,4362342
33.55,148,0,2025-07-13T23:28:03.000,4362342
28.58,174,0,2025-07-13T23:23:03.000,4362342
26.71,186,0,2025-07-13T23:18:04.000,4362342
22.36,223,0,2025-07-13T23:13:03.000,4362342
19.26,255,0,2025-07-13T23:08:03.000,4362342
20.5,240,0,2025-07-13T23:03:03.000,4362342
18.01,274,0,2025-07-13T22:58:04.000,4362342
18.64,263,0,2025-07-13T22:53:03.000,4362342
22.99,214,0,2025-07-13T22:48:03.000,4362342
28.58,174,0,2025-07-13T22:43:03.000,4362342
27.96,180,0,2025-07-13T22:38:04.000,4362342
26.71,187,0,2025-07-13T22:33:03.000,4362342
24.85,198,0,2025-07-13T22:28:03.000,4362342
23.61,209,0,2025-07-13T22:23:03.000,4362342
22.99,213,0,2025-07-13T22:18:03.000,4362342
22.36,224,0,2025-07-13T22:13:03.000,4362342
24.23,203,0,2025-07-13T22:08:03.000,4362342
21.74,226,0,2025-07-13T22:03:03.000,4362342
21.12,234,0,2025-07-13T21:58:03.000,4362342
22.99,216,0,2025-07-13T21:53:03.000,4362342
26.09,191,0,2025-07-13T21:48:03.000,4362342
27.96,177,0,2025-07-13T21:43:03.000,4362342
32.31,155,0,2025-07-13T21:38:03.000,4362342
29.2,169,0,2025-07-13T21:28:03.000,4362342
24.85,198,0,2025-07-13T21:23:04.000,4362342
24.23,207,0,2025-07-13T21:18:03.000,4362342
21.74,230,0,2025-07-13T21:13:04.000,4362342
21.12,236,0,2025-07-13T21:08:03.000,4362342
19.26,261,0,2025-07-13T21:03:04.000,4362342
17.39,287,0,2025-07-13T20:58:03.000,4362342
19.26,257,0,2025-07-13T20:53:03.000,4362342
18.64,268,0,2025-07-13T20:48:04.000,4362342
19.88,251,0,2025-07-13T20:43:04.000,4362342
20.5,244,0,2025-07-13T20:38:04.000,4362342
19.88,252,0,2025-07-13T20:33:03.000,4362342
17.39,281,0,2025-07-13T20:28:03.000,4362342
16.77,298,0,2025-07-13T20:23:04.000,4362342
18.01,279,0,2025-07-13T20:18:03.000,4362342
19.88,246,0,2025-07-13T20:13:03.000,4362342
22.36,220,0,2025-07-13T20:08:03.000,4362342
23.61,211,0,2025-07-13T20:03:03.000,4362342
24.23,204,0,2025-07-13T19:58:04.000,4362342
24.85,201,0,2025-07-13T19:53:03.000,4362342
18.64,264,0,2025-07-13T19:48:03.000,4362342
16.15,311,0,2025-07-13T19:43:03.000,4362342
13.04,381,0,2025-07-13T19:38:03.000,4362342
10.56,455,0,2025-07-13T19:33:03.000,4362342
10.56,452,0,2025-07-13T19:28:03.000,4362342
11.8,412,0,2025-07-13T19:23:03.000,4362342
14.91,328,0,2025-07-13T19:18:03.000,4362342
18.64,268,0,2025-07-13T19:13:04.000,4362342
21.12,233,0,2025-07-13T19:08:03.000,4362342
22.36,221,0,2025-07-13T19:03:03.000,4362342
21.74,229,0,2025-07-13T18:58:03.000,4362342
17.39,280,0,2025-07-13T18:53:04.000,4362342
14.29,349,0,2025-07-13T18:48:03.000,4362342
11.18,448,0,2025-07-13T18:43:03.000,4362342
10.56,456,0,2025-07-13T18:38:03.000,4362342
9.94,504,0,2025-07-13T18:33:03.000,4362342
10.56,458,0,2025-07-13T18:28:03.000,4362342
12.42,400,0,2025-07-13T18:23:03.000,4362342
14.91,324,0,2025-07-13T18:18:03.000,4362342
18.64,268,0,2025-07-13T18:13:03.000,4362342
22.99,218,0,2025-07-13T18:08:03.000,4362342
23.61,210,0,2025-07-13T18:03:03.000,4362342
27.34,180,0,2025-07-13T17:58:03.000,4362342
31.06,160,0,2025-07-13T17:53:03.000,4362342
29.2,169,0,2025-07-13T17:48:03.000,4362342
29.82,168,0,2025-07-13T17:43:03.000,4362342
30.44,162,0,2025-07-13T17:38:03.000,4362342
31.06,161,0,2025-07-13T17:33:03.000,4362342
29.2,171,0,2025-07-13T17:28:03.000,4362342
27.96,176,0,2025-07-13T17:23:03.000,4362342
22.99,217,0,2025-07-13T17:18:03.000,4362342
22.36,224,0,2025-07-13T17:13:03.000,4362342
22.36,225,0,2025-07-13T17:08:03.000,4362342
21.74,228,0,2025-07-13T17:03:03.000,4362342
17.39,280,0,2025-07-13T16:58:03.000,4362342
19.26,256,0,2025-07-13T16:53:03.000,4362342
25.47,195,0,2025-07-13T16:48:03.000,4362342
29.2,170,0,2025-07-13T16:43:03.000,4362342
31.06,160,0,2025-07-13T16:38:03.000,4362342
34.79,143,0,2025-07-13T16:33:03.000,4362342
28.58,176,0,2025-07-13T16:28:03.000,4362342
26.71,185,0,2025-07-13T16:23:03.000,4362342
26.71,188,0,2025-07-13T16:18:03.000,4362342
27.34,181,0,2025-07-13T16:13:03.000,4362342
21.12,231,0,2025-07-13T16:08:03.000,4362342
16.77,299,0,2025-07-13T16:03:03.000,4362342
15.53,321,0,2025-07-13T15:58:03.000,4362342
13.04,383,0,2025-07-13T15:53:03.000,4362342
11.18,431,0,2025-07-13T15:48:03.000,4362342
11.8,414,0,2025-07-13T15:43:03.000,4362342
17.39,288,0,2025-07-13T15:38:03.000,4362342
18.64,262,0,2025-07-13T15:33:03.000,4362342
27.34,183,0,2025-07-13T15:28:03.000,4362342
31.68,156,0,2025-07-13T15:23:03.000,4362342
35.41,140,0,2025-07-13T15:18:03.000,4362342
34.17,146,0,2025-07-13T15:13:03.000,4362342
