speed,travel_time,status,data_as_of,link_id
7.45,717,0,2025-07-14T15:43:03.000,4616252
6.83,759,0,2025-07-14T15:33:03.000,4616252
7.45,708,0,2025-07-14T15:28:03.000,4616252
8.07,656,0,2025-07-14T15:23:04.000,4616252
8.69,601,0,2025-07-14T15:18:03.000,4616252
9.94,543,0,2025-07-14T15:13:03.000,4616252
12.42,437,0,2025-07-14T15:08:02.000,4616252
15.53,356,0,2025-07-14T15:03:03.000,4616252
20.5,265,0,2025-07-14T14:58:03.000,4616252
26.71,205,0,2025-07-14T14:53:04.000,4616252
33.55,163,0,2025-07-14T14:48:03.000,4616252
35.41,157,0,2025-07-14T14:38:03.000,4616252
39.76,139,0,2025-07-14T14:33:03.000,4616252
39.14,140,0,2025-07-14T14:28:03.000,4616252
38.52,144,0,2025-07-14T14:23:03.000,4616252
38.52,144,0,2025-07-14T14:18:03.000,4616252
39.14,140,0,2025-07-14T14:13:03.000,4616252
37.9,144,0,2025-07-14T14:08:03.000,4616252
38.52,144,0,2025-07-14T14:03:03.000,4616252
37.9,145,0,2025-07-14T13:58:03.000,4616252
35.41,154,0,2025-07-14T13:53:03.000,4616252
34.79,160,0,2025-07-14T13:48:03.000,4616252
37.9,146,0,2025-07-14T13:43:03.000,4616252
40.38,136,0,2025-07-14T13:38:03.000,4616252
41.01,135,0,2025-07-14T13:33:03.000,4616252
39.76,139,0,2025-07-14T13:28:03.000,4616252
39.14,140,0,2025-07-14T13:23:03.000,4616252
39.76,139,0,2025-07-14T13:18:03.000,4616252
38.52,142,0,2025-07-14T13:13:03.000,4616252
37.9,145,0,2025-07-14T13:08:03.000,4616252
37.28,148,0,2025-07-14T13:03:03.000,4616252
36.66,151,0,2025-07-14T12:58:03.000,4616252
39.14,140,0,2025-07-14T12:53:04.000,4616252
36.03,154,0,2025-07-14T12:48:03.000,4616252
33.55,166,0,2025-07-14T12:43:03.000,4616252
39.14,141,0,2025-07-14T12:38:03.000,4616252
40.38,138,0,2025-07-14T12:33:03.000,4616252
29.82,185,0,2025-07-14T12:28:03.000,4616252
21.74,253,0,2025-07-14T12:23:04.000,4616252
15.53,347,0,2025-07-14T12:18:03.000,4616252
16.15,332,0,2025-07-14T12:13:03.000,4616252
17.39,314,0,2025-07-14T12:08:03.000,4616252
17.39,312,0,2025-07-14T12:03:03.000,4616252
19.88,274,0,2025-07-14T11:53:04.000,4616252
24.23,228,0,2025-07-14T11:48:03.000,4616252
24.23,226,0,2025-07-14T11:43:03.000,4616252
24.85,222,0,2025-07-14T11:38:03.000,4616252
23.61,233,0,2025-07-14T11:33:03.000,4616252
27.34,203,0,2025-07-14T11:28:03.000,4616252
27.96,197,0,2025-07-14T11:23:03.000,4616252
28.58,194,0,2025-07-14T11:18:03.000,4616252
29.82,185,0,2025-07-14T11:13:03.000,4616252
32.31,170,0,2025-07-14T11:08:03.000,4616252
37.9,146,0,2025-07-14T11:03:03.000,4616252
41.01,136,0,2025-07-14T10:58:03.000,4616252
41.01,135,0,2025-07-14T10:53:03.000,4616252
34.17,161,0,2025-07-14T10:48:03.000,4616252
36.03,152,0,2025-07-14T10:43:03.000,4616252
40.38,137,0,2025-07-14T10:38:04.000,4616252
41.63,133,0,2025-07-14T10:33:03.000,4616252
42.25,131,0,2025-07-14T10:28:03.000,4616252
41.63,133,0,2025-07-14T10:23:03.000,4616252
41.01,135,0,2025-07-14T10:18:03.000,4616252
39.76,139,0,2025-07-14T10:13:03.000,4616252
39.76,140,0,2025-07-14T10:08:03.000,4616252
40.38,137,0,2025-07-14T10:03:03.000,4616252
38.52,143,0,2025-07-14T09:58:03.000,4616252
39.76,139,0,2025-07-14T09:53:03.000,4616252
36.03,152,0,2025-07-14T09:48:03.000,4616252
37.9,144,0,2025-07-14T09:43:03.000,4616252
39.76,140,0,2025-07-14T09:38:03.000,4616252
40.38,136,0,2025-07-14T09:33:03.000,4616252
40.38,136,0,2025-07-14T09:28:03.000,4616252
38.52,143,0,2025-07-14T09:23:03.000,4616252
36.03,152,0,2025-07-14T09:18:03.000,4616252
34.17,161,0,2025-07-14T09:13:03.000,4616252
32.93,168,0,2025-07-14T09:08:04.000,4616252
30.44,182,0,2025-07-14T09:03:03.000,4616252
31.68,174,0,2025-07-14T08:58:03.000,4616252
37.28,149,0,2025-07-14T08:53:03.000,4616252
38.52,144,0,2025-07-14T08:48:04.000,4616252
38.52,144,0,2025-07-14T08:43:03.000,4616252
37.9,146,0,2025-07-14T08:38:04.000,4616252
38.52,143,0,2025-07-14T08:33:03.000,4616252
39.76,138,0,2025-07-14T08:28:03.000,4616252
37.9,145,0,2025-07-14T08:23:03.000,4616252
34.17,161,0,2025-07-14T08:18:03.000,4616252
29.2,189,0,2025-07-14T08:13:03.000,4616252
27.34,199,0,2025-07-14T08:08:03.000,4616252
24.85,219,0,2025-07-14T08:03:03.000,4616252
32.31,171,0,2025-07-14T07:58:03.000,4616252
37.9,145,0,2025-07-14T07:53:03.000,4616252
39.14,140,0,2025-07-14T07:48:03.000,4616252
39.14,140,0,2025-07-14T07:43:03.000,4616252
40.38,137,0,2025-07-14T07:38:03.000,4616252
39.14,142,0,2025-07-14T07:33:03.000,4616252
41.63,133,0,2025-07-14T07:28:03.000,4616252
