speed,travel_time,status,data_as_of,link_id
18.01,833,0,2025-07-14T15:43:09.000,4616257
19.26,765,0,2025-07-14T15:33:09.000,4616257
22.36,668,0,2025-07-14T15:28:10.000,4616257
20.5,725,0,2025-07-14T15:23:10.000,4616257
24.85,601,0,2025-07-14T15:18:09.000,4616257
20.5,725,0,2025-07-14T15:13:09.000,4616257
18.64,791,0,2025-07-14T15:08:09.000,4616257
22.36,662,0,2025-07-14T15:03:10.000,4616257
20.5,731,0,2025-07-14T14:58:08.000,4616257
26.09,572,0,2025-07-14T14:53:10.000,4616257
24.85,604,0,2025-07-14T14:48:09.000,4616257
29.2,512,0,2025-07-14T14:38:09.000,4616257
23.61,626,0,2025-07-14T14:33:10.000,4616257
23.61,624,0,2025-07-14T14:28:09.000,4616257
29.82,499,0,2025-07-14T14:23:11.000,4616257
34.79,429,0,2025-07-14T14:18:09.000,4616257
34.79,428,0,2025-07-14T14:13:09.000,4616257
33.55,446,0,2025-07-14T14:08:09.000,4616257
31.06,485,0,2025-07-14T14:03:09.000,4616257
29.82,496,0,2025-07-14T13:58:09.000,4616257
30.44,489,0,2025-07-14T13:53:09.000,4616257
22.99,654,0,2025-07-14T13:48:10.000,4616257
22.99,650,0,2025-07-14T13:43:09.000,4616257
26.09,566,0,2025-07-14T13:38:09.000,4616257
29.82,502,0,2025-07-14T13:33:09.000,4616257
28.58,525,0,2025-07-14T13:28:09.000,4616257
26.71,553,0,2025-07-14T13:23:10.000,4616257
26.71,558,0,2025-07-14T13:18:09.000,4616257
28.58,523,0,2025-07-14T13:13:09.000,4616257
31.06,483,0,2025-07-14T13:08:09.000,4616257
26.09,572,0,2025-07-14T13:03:11.000,4616257
22.99,643,0,2025-07-14T12:58:09.000,4616257
29.2,513,0,2025-07-14T12:53:10.000,4616257
21.74,680,0,2025-07-14T12:48:09.000,4616257
27.34,547,0,2025-07-14T12:43:09.000,4616257
27.34,541,0,2025-07-14T12:38:10.000,4616257
29.82,504,0,2025-07-14T12:33:10.000,4616257
34.79,428,0,2025-07-14T12:28:10.000,4616257
34.79,432,0,2025-07-14T12:23:10.000,4616257
31.68,470,0,2025-07-14T12:18:10.000,4616257
27.34,541,0,2025-07-14T12:13:09.000,4616257
26.71,557,0,2025-07-14T12:08:09.000,4616257
29.2,514,0,2025-07-14T12:03:09.000,4616257
31.06,480,0,2025-07-14T11:53:10.000,4616257
31.06,483,0,2025-07-14T11:48:10.000,4616257
36.03,413,0,2025-07-14T11:43:10.000,4616257
36.66,407,0,2025-07-14T11:38:09.000,4616257
32.93,451,0,2025-07-14T11:33:10.000,4616257
31.68,475,0,2025-07-14T11:28:10.000,4616257
33.55,443,0,2025-07-14T11:23:10.000,4616257
31.68,469,0,2025-07-14T11:18:10.000,4616257
29.82,506,0,2025-07-14T11:13:09.000,4616257
29.2,513,0,2025-07-14T11:08:10.000,4616257
25.47,583,0,2025-07-14T11:03:10.000,4616257
22.36,661,0,2025-07-14T10:58:09.000,4616257
18.01,821,0,2025-07-14T10:53:09.000,4616257
16.77,869,0,2025-07-14T10:48:09.000,4616257
17.39,860,0,2025-07-14T10:43:09.000,4616257
18.01,822,0,2025-07-14T10:38:10.000,4616257
17.39,843,0,2025-07-14T10:33:09.000,4616257
19.88,758,0,2025-07-14T10:28:09.000,4616257
21.12,695,0,2025-07-14T10:23:10.000,4616257
21.74,686,0,2025-07-14T10:18:10.000,4616257
21.74,680,0,2025-07-14T10:13:10.000,4616257
26.71,560,0,2025-07-14T10:08:10.000,4616257
27.96,531,0,2025-07-14T10:03:10.000,4616257
26.09,577,0,2025-07-14T09:58:10.000,4616257
23.61,627,0,2025-07-14T09:53:09.000,4616257
14.29,1048,0,2025-07-14T09:48:09.000,4616257
20.5,734,0,2025-07-14T09:43:10.000,4616257
23.61,624,0,2025-07-14T09:38:10.000,4616257
27.96,532,0,2025-07-14T09:33:10.000,4616257
28.58,518,0,2025-07-14T09:28:09.000,4616257
27.96,529,0,2025-07-14T09:23:09.000,4616257
20.5,717,0,2025-07-14T09:18:11.000,4616257
28.58,525,0,2025-07-14T09:13:09.000,4616257
31.06,481,0,2025-07-14T09:08:11.000,4616257
31.68,472,0,2025-07-14T09:03:10.000,4616257
32.93,457,0,2025-07-14T08:58:10.000,4616257
32.31,459,0,2025-07-14T08:53:10.000,4616257
