speed,travel_time,status,data_as_of,link_id
31.68,79,0,2025-07-14T15:43:03.000,4616267
51.57,49,0,2025-07-14T15:33:03.000,4616267
50.33,50,0,2025-07-14T15:28:03.000,4616267
57.16,44,0,2025-07-14T15:23:04.000,4616267
56.54,45,0,2025-07-14T15:18:03.000,4616267
56.54,44,0,2025-07-14T15:13:03.000,4616267
50.33,50,0,2025-07-14T15:08:02.000,4616267
47.84,53,0,2025-07-14T15:03:03.000,4616267
37.9,67,0,2025-07-14T14:58:03.000,4616267
29.2,85,0,2025-07-14T14:53:04.000,4616267
27.96,89,0,2025-07-14T14:48:03.000,4616267
20.5,124,0,2025-07-14T14:38:03.000,4616267
17.39,143,0,2025-07-14T14:33:03.000,4616267
16.15,154,0,2025-07-14T14:28:03.000,4616267
14.29,172,0,2025-07-14T14:23:03.000,4616267
16.77,147,0,2025-07-14T14:18:03.000,4616267
30.44,83,0,2025-07-14T14:13:03.000,4616267
46.6,54,0,2025-07-14T14:08:03.000,4616267
52.81,48,0,2025-07-14T14:03:03.000,4616267
50.33,50,0,2025-07-14T13:58:03.000,4616267
39.76,63,0,2025-07-14T13:53:03.000,4616267
19.88,125,0,2025-07-14T13:48:03.000,4616267
14.91,171,0,2025-07-14T13:43:03.000,4616267
14.29,173,0,2025-07-14T13:38:03.000,4616267
13.67,186,0,2025-07-14T13:33:03.000,4616267
8.69,275,0,2025-07-14T13:28:03.000,4616267
8.07,314,0,2025-07-14T13:23:03.000,4616267
9.32,269,0,2025-07-14T13:18:03.000,4616267
11.18,226,0,2025-07-14T13:13:03.000,4616267
13.04,193,0,2025-07-14T13:08:03.000,4616267
13.67,179,0,2025-07-14T13:03:03.000,4616267
11.8,214,0,2025-07-14T12:58:03.000,4616267
13.04,192,0,2025-07-14T12:53:04.000,4616267
14.91,169,0,2025-07-14T12:48:03.000,4616267
13.04,193,0,2025-07-14T12:43:03.000,4616267
21.12,119,0,2025-07-14T12:38:03.000,4616267
16.15,152,0,2025-07-14T12:33:03.000,4616267
18.64,136,0,2025-07-14T12:28:03.000,4616267
24.23,102,0,2025-07-14T12:23:04.000,4616267
33.55,75,0,2025-07-14T12:18:03.000,4616267
44.73,57,0,2025-07-14T12:13:03.000,4616267
47.84,53,0,2025-07-14T12:08:03.000,4616267
50.33,50,0,2025-07-14T12:03:03.000,4616267
49.08,51,0,2025-07-14T11:53:04.000,4616267
50.33,50,0,2025-07-14T11:48:03.000,4616267
49.08,52,0,2025-07-14T11:43:03.000,4616267
52.19,48,0,2025-07-14T11:38:03.000,4616267
50.33,50,0,2025-07-14T11:33:03.000,4616267
53.43,47,0,2025-07-14T11:28:03.000,4616267
