speed,travel_time,status,data_as_of,link_id
4.34,2169,0,2025-07-14T15:43:09.000,4616340
3.1,2912,0,2025-07-14T15:33:09.000,4616340
4.34,2111,0,2025-07-14T15:28:10.000,4616340
2.48,3497,-101,2025-07-14T15:23:10.000,4616340
2.48,3260,-101,2025-07-14T15:18:09.000,4616340
4.34,2051,0,2025-07-14T15:13:09.000,4616340
4.34,2197,0,2025-07-14T15:08:09.000,4616340
2.48,3757,-101,2025-07-14T15:03:10.000,4616340
6.83,1305,0,2025-07-14T14:58:08.000,4616340
13.04,739,0,2025-07-14T14:53:10.000,4616340
2.48,3770,0,2025-07-14T14:48:09.000,4616340
1.86,3939,0,2025-07-14T14:38:09.000,4616340
3.1,3041,0,2025-07-14T14:33:10.000,4616340
5.59,1627,-101,2025-07-14T14:28:09.000,4616340
8.07,1124,0,2025-07-14T14:23:11.000,4616340
10.56,867,0,2025-07-14T14:18:09.000,4616340
10.56,880,0,2025-07-14T14:13:09.000,4616340
4.34,1955,0,2025-07-14T14:08:09.000,4616340
4.34,2127,0,2025-07-14T14:03:09.000,4616340
3.1,3025,0,2025-07-14T13:58:09.000,4616340
3.1,2965,0,2025-07-14T13:53:09.000,4616340
3.72,2345,0,2025-07-14T13:48:10.000,4616340
3.1,2656,0,2025-07-14T13:43:09.000,4616340
5.59,1647,0,2025-07-14T13:38:09.000,4616340
4.34,2019,0,2025-07-14T13:33:09.000,4616340
1.24,7281,0,2025-07-14T13:28:09.000,4616340
1.86,5191,0,2025-07-14T13:23:10.000,4616340
1.86,4131,0,2025-07-14T13:18:09.000,4616340
1.86,4319,0,2025-07-14T13:13:09.000,4616340
3.1,2625,0,2025-07-14T13:08:09.000,4616340
4.34,2032,0,2025-07-14T13:03:11.000,4616340
3.72,2283,0,2025-07-14T12:58:09.000,4616340
4.97,1832,0,2025-07-14T12:53:10.000,4616340
3.1,2650,0,2025-07-14T12:48:09.000,4616340
2.48,3780,0,2025-07-14T12:43:09.000,4616340
4.34,2114,0,2025-07-14T12:38:10.000,4616340
4.34,2079,0,2025-07-14T12:33:10.000,4616340
4.34,1968,0,2025-07-14T12:28:10.000,4616340
4.34,2048,0,2025-07-14T12:23:10.000,4616340
4.34,2169,0,2025-07-14T12:18:10.000,4616340
3.1,2753,0,2025-07-14T12:13:09.000,4616340
3.72,2294,0,2025-07-14T12:08:09.000,4616340
4.34,2065,0,2025-07-14T12:03:09.000,4616340
3.1,2797,0,2025-07-14T11:53:10.000,4616340
1.86,4084,0,2025-07-14T11:48:10.000,4616340
2.48,3808,0,2025-07-14T11:43:10.000,4616340
3.1,3026,0,2025-07-14T11:38:09.000,4616340
2.48,3347,-101,2025-07-14T11:33:10.000,4616340
2.48,3300,0,2025-07-14T11:28:10.000,4616340
3.1,3089,0,2025-07-14T11:23:10.000,4616340
4.34,2194,-101,2025-07-14T11:18:10.000,4616340
4.97,1734,0,2025-07-14T11:13:09.000,4616340
3.1,3030,0,2025-07-14T11:08:10.000,4616340
8.07,1139,0,2025-07-14T11:03:10.000,4616340
8.07,1115,0,2025-07-14T10:58:09.000,4616340
3.72,2373,0,2025-07-14T10:53:09.000,4616340
3.1,2868,0,2025-07-14T10:48:09.000,4616340
7.45,1290,0,2025-07-14T10:43:09.000,4616340
13.04,718,0,2025-07-14T10:38:10.000,4616340
7.45,1268,0,2025-07-14T10:33:09.000,4616340
4.97,1907,0,2025-07-14T10:28:09.000,4616340
8.07,1169,0,2025-07-14T10:23:10.000,4616340
6.21,1445,0,2025-07-14T10:18:10.000,4616340
2.48,3356,0,2025-07-14T10:13:10.000,4616340
2.48,3682,0,2025-07-14T10:08:10.000,4616340
4.97,1833,0,2025-07-14T10:03:10.000,4616340
13.04,712,0,2025-07-14T09:58:10.000,4616340
1.86,4846,-101,2025-07-14T09:53:09.000,4616340
2.48,3783,0,2025-07-14T09:48:09.000,4616340
8.07,1184,0,2025-07-14T09:43:10.000,4616340
3.72,2481,0,2025-07-14T09:38:10.000,4616340
3.1,2998,0,2025-07-14T09:33:10.000,4616340
1.86,4951,0,2025-07-14T09:28:09.000,4616340
1.86,4716,-101,2025-07-14T09:23:09.000,4616340
2.48,3307,-101,2025-07-14T09:18:11.000,4616340
2.48,3772,0,2025-07-14T09:13:09.000,4616340
3.72,2247,0,2025-07-14T09:08:11.000,4616340
2.48,3189,-101,2025-07-14T09:03:10.000,4616340
1.24,7248,-101,2025-07-14T08:58:10.000,4616340
1.86,4691,-101,2025-07-14T08:53:10.000,4616340
6.83,1337,0,2025-07-14T08:48:11.000,4616340
14.29,661,0,2025-07-14T08:43:09.000,4616340
11.18,824,0,2025-07-14T08:38:11.000,4616340
6.21,1431,0,2025-07-14T08:33:10.000,4616340
4.34,2193,0,2025-07-14T08:28:10.000,4616340
3.72,2432,0,2025-07-14T08:23:09.000,4616340
7.45,1258,-101,2025-07-14T08:18:10.000,4616340
16.15,591,0,2025-07-14T08:13:10.000,4616340
6.83,1385,0,2025-07-14T08:08:10.000,4616340
3.1,3083,0,2025-07-14T08:03:10.000,4616340
3.1,2927,-101,2025-07-14T07:58:10.000,4616340
17.39,547,-101,2025-07-14T07:53:10.000,4616340
2.48,3429,0,2025-07-14T07:48:10.000,4616340
1.24,6025,-101,2025-07-14T07:43:10.000,4616340
0.62,8096,-101,2025-07-14T07:38:10.000,4616340
1.86,4048,-101,2025-07-14T07:33:10.000,4616340
4.34,1971,0,2025-07-14T07:28:09.000,4616340
11.18,858,0,2025-07-14T07:23:10.000,4616340
9.32,1033,0,2025-07-14T07:18:09.000,4616340
5.59,1649,0,2025-07-14T07:13:11.000,4616340
3.1,3073,0,2025-07-14T07:08:09.000,4616340
2.48,3659,0,2025-07-14T07:03:09.000,4616340
2.48,3374,-101,2025-07-14T06:58:10.000,4616340
1.24,5470,-101,2025-07-14T06:53:09.000,4616340
2.48,3896,-101,2025-07-14T06:48:10.000,4616340
4.97,1824,0,2025-07-14T06:43:09.000,4616340
13.67,694,0,2025-07-14T06:38:10.000,4616340
13.67,704,0,2025-07-14T06:33:09.000,4616340
6.21,1542,0,2025-07-14T06:28:09.000,4616340
3.1,3031,0,2025-07-14T06:23:09.000,4616340
1.86,3930,0,2025-07-14T06:18:09.000,4616340
4.34,2019,0,2025-07-14T06:13:10.000,4616340
6.21,1437,0,2025-07-14T06:08:10.000,4616340
4.97,1944,0,2025-07-14T06:03:10.000,4616340
4.34,2116,0,2025-07-14T05:58:10.000,4616340
4.97,1770,0,2025-07-14T05:53:09.000,4616340
3.72,2249,0,2025-07-14T05:48:10.000,4616340
4.34,2126,0,2025-07-14T05:43:10.000,4616340
11.18,827,0,2025-07-14T05:38:10.000,4616340
7.45,1272,0,2025-07-14T05:33:09.000,4616340
3.72,2331,0,2025-07-14T05:28:09.000,4616340
6.83,1328,0,2025-07-14T05:23:09.000,4616340
5.59,1637,0,2025-07-14T05:18:09.000,4616340
2.48,3707,0,2025-07-14T05:13:09.000,4616340
5.59,1689,0,2025-07-14T05:08:10.000,4616340
10.56,902,0,2025-07-14T05:03:09.000,4616340
10.56,904,0,2025-07-14T04:58:08.000,4616340
9.94,931,0,2025-07-14T04:53:08.000,4616340
7.45,1209,0,2025-07-14T04:48:08.000,4616340
2.48,3714,-101,2025-07-14T04:43:09.000,4616340
3.72,2561,0,2025-07-14T04:38:08.000,4616340
13.04,737,0,2025-07-14T04:33:09.000,4616340
9.94,951,0,2025-07-14T04:28:08.000,4616340
3.72,2573,0,2025-07-14T04:23:09.000,4616340
4.34,2196,0,2025-07-14T04:18:09.000,4616340
4.97,1842,0,2025-07-14T04:13:08.000,4616340
11.18,851,0,2025-07-14T04:08:09.000,4616340
5.59,1640,0,2025-07-14T04:03:09.000,4616340
4.97,1914,0,2025-07-14T03:58:09.000,4616340
3.1,2725,0,2025-07-14T03:53:08.000,4616340
5.59,1582,-101,2025-07-14T03:48:08.000,4616340
4.34,2002,-101,2025-07-14T03:43:09.000,4616340
4.34,2015,0,2025-07-14T03:38:09.000,4616340
5.59,1611,0,2025-07-14T03:33:09.000,4616340
2.48,3497,0,2025-07-14T03:28:08.000,4616340
4.34,2141,0,2025-07-14T03:23:09.000,4616340
17.39,547,0,2025-07-14T03:18:08.000,4616340
22.36,423,0,2025-07-14T03:13:09.000,4616340
6.21,1482,-101,2025-07-14T03:03:08.000,4616340
4.97,1764,0,2025-07-14T02:58:08.000,4616340
4.97,1808,0,2025-07-14T02:53:09.000,4616340
4.97,1736,0,2025-07-14T02:48:08.000,4616340
3.1,2920,0,2025-07-14T02:43:08.000,4616340
3.1,2883,0,2025-07-14T02:38:09.000,4616340
4.97,1797,-101,2025-07-14T02:33:08.000,4616340
18.01,536,0,2025-07-14T02:28:09.000,4616340
15.53,606,0,2025-07-14T02:23:09.000,4616340
12.42,749,0,2025-07-14T02:18:09.000,4616340
8.07,1172,0,2025-07-14T02:13:08.000,4616340
6.21,1557,0,2025-07-14T02:08:09.000,4616340
14.29,663,0,2025-07-14T02:03:08.000,4616340
3.72,2351,-101,2025-07-14T01:58:08.000,4616340
3.1,3078,0,2025-07-14T01:53:08.000,4616340
4.34,2075,0,2025-07-14T01:48:09.000,4616340
3.72,2342,-101,2025-07-14T01:43:08.000,4616340
18.64,511,0,2025-07-14T01:38:09.000,4616340
11.18,861,0,2025-07-14T01:33:10.000,4616340
22.36,432,0,2025-07-14T01:28:08.000,4616340
14.29,664,-101,2025-07-14T01:23:08.000,4616340
3.72,2340,0,2025-07-14T01:18:09.000,4616340
2.48,3598,0,2025-07-14T01:13:08.000,4616340
2.48,3690,-101,2025-07-14T01:08:08.000,4616340
4.34,2064,-101,2025-07-14T01:03:09.000,4616340
4.34,2158,0,2025-07-14T00:58:09.000,4616340
6.83,1409,0,2025-07-14T00:53:08.000,4616340
8.07,1133,0,2025-07-14T00:48:08.000,4616340
2.48,3234,0,2025-07-14T00:43:08.000,4616340
3.1,2867,0,2025-07-14T00:38:09.000,4616340
17.39,556,0,2025-07-14T00:33:08.000,4616340
14.29,676,0,2025-07-14T00:28:08.000,4616340
4.34,2161,0,2025-07-14T00:23:09.000,4616340
4.34,2141,0,2025-07-14T00:18:08.000,4616340
2.48,3268,0,2025-07-14T00:13:08.000,4616340
2.48,3597,0,2025-07-14T00:08:08.000,4616340
4.34,2187,0,2025-07-14T00:03:08.000,4616340
3.72,2485,0,2025-07-13T23:58:09.000,4616340
3.1,2665,-101,2025-07-13T23:53:09.000,4616340
7.45,1259,0,2025-07-13T23:48:09.000,4616340
6.21,1536,0,2025-07-13T23:43:09.000,4616340
6.21,1558,0,2025-07-13T23:38:09.000,4616340
13.67,708,0,2025-07-13T23:33:09.000,4616340
17.39,538,0,2025-07-13T23:28:09.000,4616340
10.56,901,0,2025-07-13T23:23:09.000,4616340
4.97,1892,0,2025-07-13T23:18:08.000,4616340
4.34,1973,0,2025-07-13T23:13:09.000,4616340
6.21,1503,0,2025-07-13T23:08:09.000,4616340
4.34,2077,0,2025-07-13T23:03:09.000,4616340
