speed,travel_time,status,data_as_of,link_id
6.21,690,0,2025-07-14T15:43:02.000,4620330
5.59,744,0,2025-07-14T15:33:02.000,4620330
6.21,713,0,2025-07-14T15:28:02.000,4620330
6.21,681,0,2025-07-14T15:23:02.000,4620330
5.59,748,0,2025-07-14T15:18:02.000,4620330
5.59,758,0,2025-07-14T15:13:02.000,4620330
4.34,909,0,2025-07-14T15:08:03.000,4620330
4.34,1009,0,2025-07-14T15:03:02.000,4620330
4.34,977,0,2025-07-14T14:58:03.000,4620330
4.34,1009,0,2025-07-14T14:53:03.000,4620330
3.72,1048,0,2025-07-14T14:48:03.000,4620330
4.34,952,0,2025-07-14T14:38:02.000,4620330
6.21,678,0,2025-07-14T14:33:02.000,4620330
5.59,774,0,2025-07-14T14:28:02.000,4620330
4.97,883,0,2025-07-14T14:23:02.000,4620330
4.34,946,0,2025-07-14T14:18:02.000,4620330
4.34,922,0,2025-07-14T14:13:02.000,4620330
4.34,934,0,2025-07-14T14:08:02.000,4620330
4.97,854,0,2025-07-14T14:03:02.000,4620330
5.59,794,0,2025-07-14T13:58:02.000,4620330
5.59,742,0,2025-07-14T13:53:02.000,4620330
5.59,759,0,2025-07-14T13:48:02.000,4620330
5.59,792,0,2025-07-14T13:43:02.000,4620330
4.97,824,0,2025-07-14T13:38:02.000,4620330
4.97,813,0,2025-07-14T13:33:02.000,4620330
5.59,779,0,2025-07-14T13:28:02.000,4620330
5.59,776,0,2025-07-14T13:23:02.000,4620330
6.21,688,0,2025-07-14T13:18:02.000,4620330
6.21,668,0,2025-07-14T13:13:03.000,4620330
6.21,716,0,2025-07-14T13:08:03.000,4620330
6.21,698,0,2025-07-14T13:03:02.000,4620330
6.21,694,0,2025-07-14T12:58:02.000,4620330
5.59,735,0,2025-07-14T12:53:02.000,4620330
6.21,703,0,2025-07-14T12:48:02.000,4620330
6.21,721,0,2025-07-14T12:43:02.000,4620330
4.97,805,0,2025-07-14T12:38:03.000,4620330
5.59,768,0,2025-07-14T12:33:02.000,4620330
6.83,610,0,2025-07-14T12:28:03.000,4620330
6.83,652,0,2025-07-14T12:23:02.000,4620330
6.21,660,0,2025-07-14T12:18:02.000,4620330
6.21,682,0,2025-07-14T12:13:02.000,4620330
5.59,732,0,2025-07-14T12:08:02.000,4620330
5.59,744,0,2025-07-14T12:03:02.000,4620330
6.83,655,0,2025-07-14T11:53:02.000,4620330
6.21,681,0,2025-07-14T11:48:02.000,4620330
6.21,678,0,2025-07-14T11:43:03.000,4620330
6.83,607,0,2025-07-14T11:38:03.000,4620330
7.45,594,0,2025-07-14T11:33:03.000,4620330
6.21,677,0,2025-07-14T11:28:02.000,4620330
6.83,652,0,2025-07-14T11:23:02.000,4620330
6.83,646,0,2025-07-14T11:18:02.000,4620330
7.45,596,0,2025-07-14T11:13:02.000,4620330
7.45,601,0,2025-07-14T11:08:03.000,4620330
7.45,584,0,2025-07-14T11:03:03.000,4620330
7.45,595,0,2025-07-14T10:58:02.000,4620330
3.1,1320,0,2025-07-14T10:53:03.000,4620330
6.83,643,0,2025-07-14T10:48:03.000,4620330
6.83,654,0,2025-07-14T10:43:03.000,4620330
6.21,681,0,2025-07-14T10:38:03.000,4620330
6.21,664,0,2025-07-14T10:33:03.000,4620330
6.83,652,0,2025-07-14T10:28:02.000,4620330
7.45,590,0,2025-07-14T10:23:03.000,4620330
6.83,627,0,2025-07-14T10:18:03.000,4620330
6.21,674,0,2025-07-14T10:13:03.000,4620330
6.83,608,0,2025-07-14T10:08:03.000,4620330
8.07,522,0,2025-07-14T10:03:03.000,4620330
8.69,512,0,2025-07-14T09:58:03.000,4620330
8.69,484,0,2025-07-14T09:53:03.000,4620330
9.94,444,0,2025-07-14T09:48:03.000,4620330
11.18,399,0,2025-07-14T09:43:03.000,4620330
12.42,354,0,2025-07-14T09:38:03.000,4620330
13.04,340,0,2025-07-14T09:33:03.000,4620330
14.29,301,0,2025-07-14T09:28:03.000,4620330
14.91,295,0,2025-07-14T09:23:03.000,4620330
18.01,247,0,2025-07-14T09:18:02.000,4620330
21.12,209,0,2025-07-14T09:13:03.000,4620330
24.23,184,0,2025-07-14T09:08:03.000,4620330
28.58,155,0,2025-07-14T09:03:03.000,4620330
29.2,153,0,2025-07-14T08:58:02.000,4620330
32.31,137,0,2025-07-14T08:53:03.000,4620330
33.55,134,0,2025-07-14T08:48:03.000,4620330
31.68,141,0,2025-07-14T08:43:03.000,4620330
31.68,139,0,2025-07-14T08:38:03.000,4620330
32.31,138,0,2025-07-14T08:33:03.000,4620330
35.41,125,0,2025-07-14T08:28:03.000,4620330
36.03,123,0,2025-07-14T08:23:03.000,4620330
35.41,126,0,2025-07-14T08:18:03.000,4620330
34.79,128,0,2025-07-14T08:13:03.000,4620330
34.79,127,0,2025-07-14T08:08:03.000,4620330
