speed,travel_time,status,data_as_of,link_id
50.95,52,0,2025-07-14T15:43:09.000,4616197
47.22,56,0,2025-07-14T15:33:09.000,4616197
46.6,57,0,2025-07-14T15:28:10.000,4616197
45.36,59,0,2025-07-14T15:23:10.000,4616197
46.6,57,0,2025-07-14T15:18:09.000,4616197
45.36,59,0,2025-07-14T15:13:09.000,4616197
42.25,63,0,2025-07-14T15:08:09.000,4616197
41.63,64,0,2025-07-14T15:03:10.000,4616197
37.28,71,0,2025-07-14T14:58:08.000,4616197
36.66,73,0,2025-07-14T14:53:10.000,4616197
36.03,74,0,2025-07-14T14:48:09.000,4616197
34.79,76,0,2025-07-14T14:38:09.000,4616197
32.93,80,0,2025-07-14T14:33:10.000,4616197
32.31,82,0,2025-07-14T14:28:09.000,4616197
30.44,87,0,2025-07-14T14:23:11.000,4616197
30.44,88,0,2025-07-14T14:18:09.000,4616197
30.44,87,0,2025-07-14T14:13:09.000,4616197
29.82,89,0,2025-07-14T14:08:09.000,4616197
29.82,90,0,2025-07-14T14:03:09.000,4616197
31.06,85,0,2025-07-14T13:58:09.000,4616197
33.55,80,0,2025-07-14T13:53:09.000,4616197
33.55,79,0,2025-07-14T13:48:10.000,4616197
32.31,83,0,2025-07-14T13:43:09.000,4616197
30.44,87,0,2025-07-14T13:38:09.000,4616197
32.31,83,0,2025-07-14T13:33:09.000,4616197
32.93,81,0,2025-07-14T13:28:09.000,4616197
31.06,86,0,2025-07-14T13:23:10.000,4616197
29.2,91,0,2025-07-14T13:18:09.000,4616197
27.34,98,0,2025-07-14T13:13:09.000,4616197
29.2,91,0,2025-07-14T13:08:09.000,4616197
31.68,83,0,2025-07-14T13:03:11.000,4616197
32.31,83,0,2025-07-14T12:58:09.000,4616197
31.06,85,0,2025-07-14T12:53:10.000,4616197
31.06,85,0,2025-07-14T12:48:09.000,4616197
31.06,85,0,2025-07-14T12:43:09.000,4616197
32.93,81,0,2025-07-14T12:38:10.000,4616197
34.79,76,0,2025-07-14T12:33:10.000,4616197
35.41,76,0,2025-07-14T12:28:10.000,4616197
30.44,87,0,2025-07-14T12:23:10.000,4616197
31.06,86,0,2025-07-14T12:18:10.000,4616197
31.68,84,0,2025-07-14T12:13:09.000,4616197
30.44,87,0,2025-07-14T12:08:09.000,4616197
27.34,97,0,2025-07-14T12:03:09.000,4616197
22.99,115,0,2025-07-14T11:53:10.000,4616197
22.36,119,0,2025-07-14T11:48:10.000,4616197
21.74,123,0,2025-07-14T11:43:10.000,4616197
21.12,127,0,2025-07-14T11:38:09.000,4616197
22.36,118,0,2025-07-14T11:33:10.000,4616197
19.88,132,0,2025-07-14T11:28:10.000,4616197
20.5,130,0,2025-07-14T11:23:10.000,4616197
20.5,130,0,2025-07-14T11:18:10.000,4616197
21.12,124,0,2025-07-14T11:13:09.000,4616197
22.36,119,0,2025-07-14T11:08:10.000,4616197
22.36,117,0,2025-07-14T11:03:10.000,4616197
22.99,116,0,2025-07-14T10:58:09.000,4616197
22.36,117,0,2025-07-14T10:53:09.000,4616197
22.99,115,0,2025-07-14T10:48:09.000,4616197
22.99,115,0,2025-07-14T10:43:09.000,4616197
