speed,travel_time,status,data_as_of,link_id
0,0,-101,2025-07-14T15:43:09.000,4616355
9.32,962,0,2025-07-14T15:33:09.000,4616355
9.32,938,-101,2025-07-14T15:28:10.000,4616355
8.69,1041,-101,2025-07-14T15:23:10.000,4616355
8.07,1067,-101,2025-07-14T15:18:09.000,4616355
8.07,1131,0,2025-07-14T15:13:09.000,4616355
8.07,1103,0,2025-07-14T15:08:09.000,4616355
8.69,1011,-101,2025-07-14T15:03:10.000,4616355
0,0,-101,2025-07-14T14:58:08.000,4616355
8.07,1096,-101,2025-07-14T14:53:10.000,4616355
10.56,833,-101,2025-07-14T14:48:09.000,4616355
0,0,-101,2025-07-14T14:38:09.000,4616355
0,0,-101,2025-07-14T14:33:10.000,4616355
0,0,-101,2025-07-14T14:28:09.000,4616355
0,0,-101,2025-07-14T14:23:11.000,4616355
0,0,-101,2025-07-14T14:18:09.000,4616355
0,0,-101,2025-07-14T14:13:09.000,4616355
0,0,-101,2025-07-14T14:08:09.000,4616355
0,0,-101,2025-07-14T14:03:09.000,4616355
0,0,-101,2025-07-14T13:58:09.000,4616355
0,0,-101,2025-07-14T13:53:09.000,4616355
0,0,-101,2025-07-14T13:48:10.000,4616355
0,0,-101,2025-07-14T13:43:09.000,4616355
0,0,-101,2025-07-14T13:38:09.000,4616355
0,0,-101,2025-07-14T13:33:03.000,4616355
27.96,326,-101,2025-07-14T13:28:03.000,4616355
32.31,283,0,2025-07-14T13:23:03.000,4616355
33.55,271,0,2025-07-14T13:18:03.000,4616355
36.03,256,0,2025-07-14T13:13:03.000,4616355
36.66,250,0,2025-07-14T13:08:03.000,4616355
38.52,237,0,2025-07-14T13:03:03.000,4616355
39.14,234,0,2025-07-14T12:58:03.000,4616355
37.28,245,0,2025-07-14T12:53:04.000,4616355
38.52,237,0,2025-07-14T12:48:03.000,4616355
37.9,241,0,2025-07-14T12:43:03.000,4616355
38.52,238,0,2025-07-14T12:38:03.000,4616355
39.76,230,0,2025-07-14T12:33:03.000,4616355
43.49,212,0,2025-07-14T12:28:03.000,4616355
49.7,184,0,2025-07-14T12:23:04.000,4616355
50.95,181,0,2025-07-14T12:18:03.000,4616355
50.33,182,0,2025-07-14T12:13:03.000,4616355
45.98,198,0,2025-07-14T12:08:03.000,4616355
47.84,192,0,2025-07-14T12:03:03.000,4616355
49.08,186,0,2025-07-14T11:53:04.000,4616355
48.46,190,0,2025-07-14T11:48:03.000,4616355
43.49,211,0,2025-07-14T11:43:03.000,4616355
45.98,201,0,2025-07-14T11:38:03.000,4616355
