LocID,LocName,Latitude,Longitude
126306,Icon Parking 360 E 65th - Tesla Destination,40.766853,-73.967711
126300,MPG The Shops at Skyview - Tesla Destination,40.75674,-73.836223
126298,Standard Parking 2 Metrotech - Tesla Destination,40.693122,-73.985696
126297,Quik Park Brooklyn Bridge LLC - Tesla Destination,40.692941,-74.000298
126296,Century Parking Corp - Tesla Destination,40.878304,-73.915227
126275,The Wooden Duck Bed and Breakfast - Tesla Destination,41.024869,-74.739386
126106,Water's Edge Resort and Spa - Tesla Destination,41.280763,-72.436813
126105,Mohegan Sun - Tesla Destination,41.490692,-72.091277
126104,Riverview Cinemas 8 and Playhouse - Tesla Destination,41.466179,-73.230991
126101,Waterworks - Tesla Destination,41.370992,-73.491095
125889,The Whaler's Inn - Tesla Destination,41.35444,-71.96746
125874,Bedell Cellars - Tesla Destination,41.02902344843405,-72.46878512399846
125843,Hudson River Crest B&B - Tesla Destination,41.33932,-73.97539
125760,GGMC 91 E 9th Street - Tesla Destination,40.730846788306835,-73.99090661676308
125672,Prestige Toyota,41.068341,-74.133217
125495,Oyster Bay Community Rowing,40.875818,-73.538735
125480,Cadillac of Greenwich,41.02133,-73.628279
125442,123 Leonard Street,40.716079,-74.002165
125418,Lake Marcia Bathhouse,41.313988,-74.66826
125415,Barone Campus Center Parking Lot,41.158851,-73.257388
125414,Billy Auto,40.697607,-73.425838
125408,Diamond Grade Media Entertainment,41.316238,-74.289177
125376,Stop & Shop,40.758454,-73.545894
125351,Maserati Alfa Romeo of Greenwich,41.024137,-73.637268
125346,Sika Corporation,40.80581,-74.108351
125345,Chester Senior Center,41.343432,-74.267411
125344,Sugar Loaf Performing Arts Center,41.316211,-74.288427
125302,Millwood Park,41.189527,-73.802034
125301,77 South Greeley Avenue,41.15781,-73.772515
125287,"Paramus - 501 NJ-17, NJ Supercharger",40.955391,-74.07467
125248,Hendrick Hudson Free Library,41.25022908,-73.94644424
125194,Branford Counseling & Community Services,41.272736,-72.819614
125193,Dan Cosgrove Animal Shelter,41.305988,-72.751979
125192,Branford Fire Headquarters,41.28106,-72.822372
125061,"Union, NJ Supercharger",40.695914,-74.254049
125021,Morris Market,40.813502,-74.474131
125018,SUNY Westchester Community College Lot 3,41.067482,-73.789428
124953,PFP Executive,41.26487,-72.996468
124950,Vision Sports Club,41.05678,-74.02325
124947,Hotel MTK,41.22035,-73.72386
124945,Healey Chevrolet Inc.,41.623819,-73.916647
124943,The Roundhouse,41.50262,-73.96072
124911,Geisinger CenterPoint Professional Office,41.3019841329227,-75.76755432010633
124901,Garden City Mazda,40.713571,-73.630129
124873,"Fairfield, CT Supercharger",41.149854,-73.247068
124822,Mount Hope Office,41.64711,-71.262266
124816,iStar,40.86402,-74.33189
124744,Blogoslawski Parking Garage,41.6641,-72.77981
124735,Briar Oaks,40.89247,-73.90911
124699,Parkpro - Beaver Brook Road,41.523061,-74.934083
124636,"Corp Commons Building - Staten Island, NY",40.60401,-74.179524
124557,Weston Assessor's Office,41.20247,-73.37862
124554,City of Norwalk - Fodor Farm,41.09295,-73.43393
124550,Town of Hebron - Town Office Building,41.6592,-72.36769
124542,The Halden,41.0114755,-73.7261172
124523,Mazda of Lodi,40.87752,-74.07565
124454,New Canaan SB Service Plaza,41.1200595859886,-73.4806996209276
124290,Shaker Motors,41.65932,-73.080943
124215,Popeyes,40.876952,-73.845534
124203,Main Street Parking Lot,40.950279,-73.827299
124202,Lower Lake Avenue,40.951176,-73.828404
124010,Shaw's Cove,41.348036,-72.101538
123961,"Park City Ford - Bridgeport, CT - Parts Entrance",41.203373,-73.189934
123915,WHB Landings Station 4,40.806446,-72.642414
123914,WHB Landings Station 3,40.806465,-72.642696
123913,WHB Landings Station 2,40.806998,-72.643307
123912,WHB Landings,40.807715,-72.643375
123911,Huntington Hyundai,40.833473,-73.361932
123832,Hampton Inn & Suites Yonkers - Westchester,40.954498,-73.848801
123826,Volvo Cars USA,41.073517,-74.170504
123686,Hotel Marcel,41.297109,-72.91817
123684,Columbus and Dante,40.95781,-73.821673
123661,Rose Hill Shopping Center,41.11444,-73.7715
123609,Hudson Toyota,40.717458,-74.096029
123549,TRMC Parking Garage,40.659784,-74.213515
123375,Colonial Mazda,41.4146139972954,-73.42574678902436
123355,Ertle Subaru,40.989217,-75.210121
123330,Shunpike Park,40.744349,-74.4249454
123328,Nash Park,40.7398881,-74.4290495
123204,Larchmont Addison Lot,40.929451,-73.752361
123194,1 Generoso Pope Place,40.950426,-73.828158
