id,lat,lng,postal_code,street_name,city,is_always_open,is_free,CEE_RED_connector_count,CHADEMO_connector_count,COMBO_TYPE_2_connector_count,DOMESTIC_TYPE_F_connector_count,MENNEKES_TYPE_2_connector_count,MENNEKES_TYPE_2_CABLE_ATTACHED_connector_count,TESLA_COMBO_CCS_connector_count,TESLA_SUPERCHARGER_EU_connector_count,CEE_RED_power_max,CHADEMO_power_max,COMBO_TYPE_2_power_max,DOMESTIC_TYPE_F_power_max,MENNEKES_TYPE_2_power_max,MENNEKES_TYPE_2_CABLE_ATTACHED_power_max,TESLA_COMBO_CCS_power_max,TESLA_SUPERCHARGER_EU_power_max
317668,56.235599,10.302056,8250,Skæring Parkvej 330,Egå,True,False,,,,,2,,,,,,,,22.0,,,
319503,56.199196,10.185416,8200,Ladefogedvej 55,Aarhus,True,False,,,1,,1,,,,,,22.0,,22.0,,,
319886,55.980069,10.249575,8300,Kystvejen 6,Odder,True,False,,,2,,4,,,,,,240.0,,22.0,,,
322311,56.123912,10.140551,8260,Grøfthøjparken 159,Viby J,True,False,,,,,4,,,,,,,,22.0,,,
322860,56.122674,10.166197,8260,Engtoften 10,Viby J,True,False,,,,,2,,,,,,,,11.0,,,
323220,56.17086,10.18767,8200,Helsingforsgade 19D,Aarhus N,True,False,,,,,,20,,,,,,,,22.0,,
323323,56.0887985229,10.2234859467,8270,Moesgård alle,Højbjerg ,False,True,,,,,8,,,,,,,,11.0,,,
324956,56.152581,10.191096,8000,1 Anna Klindt Sørensens Gade ,Aarhus,False,False,,,2,,1,,,,,,60.0,,22.0,,,
325091,56.1306648254,10.1624097824,8260,Stenkildevej,Viby J,True,False,,,8,,,,,,,,300.0,,,,,
326556,56.2361,10.304441,8250,Skæring Parkvej 516,Egå,True,False,,,,,2,,,,,,,,22.0,,,
328788,56.172296,10.212194,8200,Otte Ruds Gade,Aarhus N,True,False,,,,,,6,,,,,,,,22.0,,
336498,56.193123,10.191533,8200,Skelagervej 36,Aarhus,True,False,,,,,2,,,,,,,,22.0,,,
337206,56.185675,10.21046,8240,Kongevellen 3,Risskov,True,False,,,,,2,,,,,,,,22.0,,,
337427,56.196157,10.18567,8200,Skejbyparken 55,Aarhus N,True,False,,,,,2,,,,,,,,22.0,,,
337432,56.190438,10.180649,8200,Oluf Palmes Allé 44,Århus,True,False,,,,,12,,,,,,,,11.0,,,
337801,56.162122,10.201018,8000,Samsøgade,Aarhus C,True,False,,,,,,6,,,,,,,,22.0,,
338832,56.15525,10.184164,8000,Daugbjergvej 24,Aarhus,True,False,,,2,,12,,,,,,50.0,,11.0,,,
339555,56.166761,10.174062,8210,sttv 69,Aarhus,True,False,,,,,2,,,,,,,,22.0,,,
339591,56.204772,10.227576,8240,Torsøvej 6,Rissskov,True,False,,,,,2,,,,,,,,22.0,,,
339595,56.169889,10.190302,8200,Finlandsgade 10,Aarhus N,True,False,,,,,,8,,,,,,,,11.0,,
339856,56.175245,10.142424,8210,Runetoften 18,Aarhus,True,False,,,,,,4,,,,,,,,22.0,,
340797,56.168222,10.172878,8210,Fuglebakkevej,Aarhus,True,False,,,,,2,,,,,,,,22.0,,,
340802,56.10266,10.148886,8310,Slet Parkvej 5,Tranbjerg,False,False,,,,,14,,,,,,,,22.0,,,
340845,56.170291,10.175297,8210,sttv 18,Aarhus,True,False,,,,,2,,,,,,,,22.0,,,
341780,56.1721763611,10.197974205,8200,Katrinebjergvej 51,Aarhus,True,False,,,4,,,,,,,,225.0,,,,,
342182,56.140267,10.223126,8000,Oceanvej 2,Aarhus,False,False,,19,11,,,,,,,400.0,400.0,,,,,
342350,56.108317,10.210844,8270,Emiliedalsvej,Højbjerg,True,False,,,,,,10,,,,,,,,22.0,,
343033,56.209918,10.234059,8240,Stokagervej 5,Risskov,True,False,,,,,4,,,,,,,,22.0,,,
344962,56.204741,10.253524,8240,Ravnsøvej 3,risskov,True,False,,,,,24,,,,,,,,22.0,,,
344980,56.185639,10.21275,8240,Kongevellen 2D,Risskov,True,False,,,,,18,,,,,,,,22.0,,,
345456,56.11389,10.15236,8260,Rosenhøj,Viby J,True,False,,,,,,2,,,,,,,,22.0,,
351549,56.142028,10.206119,8000,Adolph Meyers Vej,Aarhus C,True,False,,,,,,8,,,,,,,,22.0,,
354841,56.203185,10.235568,8240,Brassøvej 15,Risskov,True,False,,,,,2,,,,,,,,11.0,,,
356000,56.100559,10.07825,8361,Brunagervej 20,Hasselager,True,False,,,,,2,,,,,,,,22.0,,,
356040,56.236183,10.233495,8520,Lystrup Centervej 78,Lystrup,True,False,,,,,8,,,,,,,,22.0,,,
357760,56.153928,10.207801,8000,Østergade 25,Aarhus,True,False,,,6,,40,,,,,,50.0,,22.0,,,
358940,56.201211,10.244159,8240,Ravnsøvej 48,Risskov,True,False,,,4,,,,,,,,150.0,,,,,
361185,56.144377,10.191701,8000,Ingerslevs Boulevard,Aarhus,True,False,,,,,6,,,,,,,,22.0,,,
361794,56.186699,10.126775,8381,Honningvænget 78A,Tilst,True,False,,,,,,10,,,,,,,,22.0,,
362324,56.110015,10.20784,8270,Oddervej 112C,Højbjerg,True,False,,,,,,10,,,,,,,,22.0,,
363655,56.143609,10.199072,8000,Dalgas Avenue,Aarhus C,True,False,,,,,,4,,,,,,,,22.0,,
363998,56.172716,10.203147,8000,Tåsingegade,Aarhus C,True,False,,,,,,6,,,,,,,,22.0,,
364434,56.181722,10.121676,8381,Havkærvej 116,Tilst,True,False,,,4,,,,,,,,400.0,,,,,
364441,56.169415,10.19265,8200,Jens Baggesens Vej 88,Aarhus,True,False,,,,,6,,,,,,,,22.0,,,
365719,56.151296,10.172475,8230,Søren Frichs Vej 44A,Åbyhøj,True,False,,,,,,22,,,,,,,,22.0,,
368548,56.162209,10.180965,8210,Fuglesangs Allé,Aarhus V,True,False,,,,,,3,,,,,,,,11.0,,
373404,56.10997,10.202477,8270,Lyseng Alle 15H,Højbjerg,True,False,,,,,2,,,,,,,,22.0,,,
373444,56.105115,10.098109,8361,Elmetoften,Hasselager,True,False,,,,,,2,,,,,,,,22.0,,
374933,56.159176,10.18331,8000,Vestre Ringgade 72b,Aarhus,True,False,,,,,6,,,,,,,,22.0,,,
375969,56.17098,10.206262,8000,Universitetsbyen,Aarhus C,True,False,,,,,,6,,,,,,,,22.0,,
376388,56.188099,10.091964,8381,Tilst Bypark,Tilst,True,False,,,,,,8,,,,,,,,22.0,,
376811,56.1719,10.194911,8200,Katrinebjergvej 77,Aarhus,True,False,,,,,8,,,,,,,,11.0,,,
377494,56.168607,10.196121,8000,Langelandsgade,Aarhus C,True,False,,,,,,6,,,,,,,,22.0,,
386462,56.087147,10.222082,8270,Moesgård Allé,Højbjerg,True,False,,,,,,8,,,,,,,,22.0,,
386463,56.035581,10.196608,8340,Mallingparken,Malling,True,False,,,,,,4,,,,,,,,22.0,,
387212,56.165294,10.229562,8000,Mariane Thomsens Gade 30,Aarhus,True,False,,,,,6,,,,,,,,22.0,,,
387320,56.203761,10.234458,8240,Borresøvej 7,Risskov,True,False,,,,,4,,,,,,,,22.0,,,
387324,56.20317,10.235003,8240,Brassøvej 10,Risskov,True,False,,,,,4,,,,,,,,22.0,,,
387326,56.201403,10.228686,8240,Nordlandsvej 60 A-G,Risskov,True,False,,,,,4,,,,,,,,22.0,,,
387623,56.083866,10.235354,8270,Skovmøllevej,Højbjerg,True,False,,,,,,2,,,,,,,,22.0,,
387820,56.183905,10.097439,8381,Anelystparken 50,Tilst,True,False,,,4,,12,,,,,,300.0,,22.0,,,
388047,56.203135,10.21183,8240,Tornebakken,Risskov,True,False,,,,,,6,,,,,,,,22.0,,
388927,56.225529,10.237366,8520,Lægårdsvej 2A,Lystrup,True,False,,,4,,,,,,,,300.0,,,,,
388931,56.185098,10.123215,8381,Havkærvej 79,Tilst,True,False,,,2,,,,,,,,300.0,,,,,
391501,55.971564,10.167607,8300,Østermarksvej,Odder,True,False,,,,,,2,,,,,,,,22.0,,
391502,55.971564,10.167607,8300,Østermarksvej,Odder,True,False,,,,,,2,,,,,,,,22.0,,
393244,56.22929,10.253666,8520,Lægårdsvej 29,Lystrup,True,False,,,,,2,,,,,,,,22.0,,,
393327,56.16024,10.072148,8220,Logistikparken 20,Brabrand,True,False,,,,,10,,,,,,,,11.0,,,
393726,55.971004,10.148934,8300,Rathlousgade,Odder,True,False,,,,,,2,,,,,,,,13.0,,
393737,56.165454,10.105184,8220,Dalgårdsvej 1A,Brabrand,True,False,,,,,,8,,,,,,,,22.0,,
394378,56.171804,10.196845,8200,Katrinebjergvej 75,Aarhus,True,False,,,,,8,,,,,,,,22.0,,,
394409,56.116643,10.12103,8260,30 Hasselager Centervej ,Viby,True,False,,,20,,,,,,,,390.0,,,,,
394503,56.155208,10.10518,8220,J. P. Larsens vej,Brabrand,True,False,,,,,2,,,,,,,,22.0,,,
