Name,Duration From,Duration To,Observation 1 City,Observation 1 Street,Observation 1 Postal Code,Observation 1 Coordinates,Observation 2 City,Observation 2 Street,Observation 2 Postal Code,Observation 2 Coordinates,Distance(meters),Duration(seconds),NDT,Road Type
trafficData182901.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Silkeborgvej 607,8220,"56.15256095040008, 10.123139046627102",Aarhus,Silkeborgvej 607,8220,"56.15328110479527, 10.110953550926183",768,55,50,MAJOR_ROAD
trafficData182929.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Silkeborgvej 607,8220,"56.15256095040008, 10.123139046627102",Aarhus,Silkeborgvej 562,8220,"56.152757286457955, 10.131331836805202",512,39,47,MAJOR_ROAD
trafficData182955.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Silkeborgvej 562,8220,"56.152757286457955, 10.131331836805202",Aarhus,Silkeborgvej 607,8220,"56.15256095040008, 10.123139046627102",511,38,48,MAJOR_ROAD
trafficData182983.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Silkeborgvej 562,8220,"56.152757286457955, 10.131331836805202",Aarhus,Silkeborgvej 521,8220,"56.153135887760996, 10.139060373016491",481,33,52,MAJOR_ROAD
trafficData183009.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Silkeborgvej 521,8220,"56.153267352820414, 10.139025504299298",Aarhus,Silkeborgvej 562,8220,"56.152757286457955, 10.131331836805202",481,35,49,MAJOR_ROAD
trafficData183037.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Silkeborgvej 521,8220,"56.153135887760996, 10.139060373016491",Aarhus,Silkeborgvej 303,8230,"56.154610138216704, 10.157440224536913",1152,100,41,MAJOR_ROAD
trafficData183063.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Silkeborgvej 303,8230,"56.154610138216704, 10.157440224536913",Aarhus,Silkeborgvej 521,8220,"56.153267352820414, 10.139025504299298",1151,95,44,MAJOR_ROAD
trafficData183091.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Silkeborgvej 303,8230,"56.154610138216704, 10.157440224536913",Aarhus,Silkeborgvej 188,8000,"56.15591411050229, 10.176133542327875",1168,111,38,MAJOR_ROAD
trafficData183117.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Silkeborgvej 188,8000,"56.15591411050229, 10.176133542327875",Aarhus,Silkeborgvej 303,8230,"56.154610138216704, 10.157440224536913",1168,115,37,MAJOR_ROAD
trafficData184595.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Skanderborgvej 223,8260,"56.125743621869944, 10.15788067857352",Aarhus,Skanderborgvej 169,8260,"56.13096577062022, 10.166318618385276",787,74,38,MAJOR_ROAD
