location_id,timestamp,Available,Total,Offline
79423,2025-07-11 21:43:29,1,1,0
79423,2025-07-11 21:38:29,1,1,0
79423,2025-07-11 21:33:29,1,1,0
79423,2025-07-11 21:28:29,1,1,0
79423,2025-07-11 21:23:29,1,1,0
79423,2025-07-11 21:18:29,1,1,0
79423,2025-07-11 21:13:29,1,1,0
79423,2025-07-11 21:08:29,1,1,0
79423,2025-07-11 21:03:29,1,1,0
79423,2025-07-11 20:58:29,1,1,0
79423,2025-07-11 20:53:30,1,1,0
79423,2025-07-11 20:48:29,1,1,0
79423,2025-07-11 20:43:29,1,1,0
79423,2025-07-11 20:38:29,1,1,0
79423,2025-07-11 20:33:29,1,1,0
79423,2025-07-11 20:28:29,1,1,0
79423,2025-07-11 20:23:29,1,1,0
79423,2025-07-11 20:18:29,1,1,0
79423,2025-07-11 20:13:32,1,1,0
79423,2025-07-11 20:08:30,1,1,0
79423,2025-07-11 20:03:31,1,1,0
79423,2025-07-11 19:58:31,1,1,0
79423,2025-07-11 19:53:29,1,1,0
79423,2025-07-11 19:48:29,1,1,0
79423,2025-07-11 19:43:29,1,1,0
79423,2025-07-11 19:38:29,1,1,0
79423,2025-07-11 19:33:29,1,1,0
79423,2025-07-11 19:28:29,1,1,0
79423,2025-07-11 19:23:29,1,1,0
79423,2025-07-11 19:18:29,1,1,0
79423,2025-07-11 19:13:30,1,1,0
79423,2025-07-11 19:08:29,1,1,0
79423,2025-07-11 19:03:29,1,1,0
79423,2025-07-11 18:58:29,1,1,0
79423,2025-07-11 18:53:29,1,1,0
79423,2025-07-11 18:48:29,1,1,0
79423,2025-07-11 18:43:29,1,1,0
79423,2025-07-11 18:38:29,1,1,0
79423,2025-07-11 18:33:29,1,1,0
79423,2025-07-11 18:28:30,1,1,0
79423,2025-07-11 18:23:29,1,1,0
79423,2025-07-11 18:18:29,1,1,0
79423,2025-07-11 18:13:29,1,1,0
79423,2025-07-11 18:08:29,1,1,0
79423,2025-07-11 18:03:29,1,1,0
79423,2025-07-11 17:58:29,1,1,0
79423,2025-07-11 17:53:29,1,1,0
79423,2025-07-11 17:48:29,1,1,0
79423,2025-07-11 17:43:29,1,1,0
79423,2025-07-11 17:38:29,1,1,0
79423,2025-07-11 17:33:29,1,1,0
79423,2025-07-11 17:28:29,1,1,0
79423,2025-07-11 17:23:29,1,1,0
79423,2025-07-11 17:18:29,1,1,0
79423,2025-07-11 17:13:30,1,1,0
79423,2025-07-11 17:08:29,1,1,0
79423,2025-07-11 17:03:30,1,1,0
79423,2025-07-11 16:58:29,1,1,0
79423,2025-07-11 16:53:29,1,1,0
79423,2025-07-11 16:48:29,1,1,0
79423,2025-07-11 16:43:29,1,1,0
79423,2025-07-11 16:38:29,1,1,0
79423,2025-07-11 16:33:29,1,1,0
79423,2025-07-11 16:28:29,1,1,0
79423,2025-07-11 16:23:29,1,1,0
79423,2025-07-11 16:18:31,1,1,0
79423,2025-07-11 16:13:30,1,1,0
79423,2025-07-11 16:08:29,1,1,0
79423,2025-07-11 16:03:29,1,1,0
79423,2025-07-11 15:58:29,1,1,0
79423,2025-07-11 15:53:29,1,1,0
79423,2025-07-11 15:48:29,1,1,0
79423,2025-07-11 15:43:29,1,1,0
79423,2025-07-11 15:38:29,1,1,0
79423,2025-07-11 15:33:29,1,1,0
79423,2025-07-11 15:28:29,1,1,0
79423,2025-07-11 15:23:29,1,1,0
79423,2025-07-11 15:18:29,1,1,0
79423,2025-07-11 15:13:29,1,1,0
79423,2025-07-11 15:08:29,1,1,0
79423,2025-07-11 15:03:29,1,1,0
79423,2025-07-11 14:58:29,1,1,0
79423,2025-07-11 14:53:29,1,1,0
79423,2025-07-11 14:48:29,1,1,0
79423,2025-07-11 14:43:29,1,1,0
79423,2025-07-11 14:38:29,1,1,0
79423,2025-07-11 14:33:29,1,1,0
79423,2025-07-11 14:28:29,1,1,0
79423,2025-07-11 14:23:29,1,1,0
79423,2025-07-11 14:18:29,1,1,0
79423,2025-07-11 14:13:29,1,1,0
79423,2025-07-11 14:08:29,1,1,0
79423,2025-07-11 14:03:29,1,1,0
79423,2025-07-11 13:58:29,1,1,0
79423,2025-07-11 13:53:29,1,1,0
79423,2025-07-11 13:48:29,1,1,0
79423,2025-07-11 13:43:29,1,1,0
79423,2025-07-11 13:38:29,1,1,0
79423,2025-07-11 13:33:29,1,1,0
