location_id,timestamp,Available,Total,Offline
132051,2025-07-17 00:53:29,8,8,0
132051,2025-07-17 00:48:29,8,8,0
132051,2025-07-17 00:43:29,8,8,0
132051,2025-07-17 00:38:29,8,8,0
132051,2025-07-17 00:33:29,8,8,0
132051,2025-07-17 00:28:44,8,8,0
132051,2025-07-17 00:23:29,8,8,0
132051,2025-07-17 00:18:29,8,8,0
132051,2025-07-17 00:13:29,8,8,0
132051,2025-07-17 00:08:29,8,8,0
132051,2025-07-17 00:03:29,8,8,0
132051,2025-07-16 23:58:29,8,8,0
132051,2025-07-16 23:53:29,8,8,0
132051,2025-07-16 23:48:29,8,8,0
132051,2025-07-16 23:43:29,8,8,0
132051,2025-07-16 23:38:29,8,8,0
132051,2025-07-16 23:33:29,8,8,0
132051,2025-07-16 23:28:29,8,8,0
132051,2025-07-16 23:23:29,8,8,0
132051,2025-07-16 23:18:29,8,8,0
132051,2025-07-16 23:13:29,8,8,0
132051,2025-07-16 23:08:29,8,8,0
132051,2025-07-16 23:03:30,8,8,0
132051,2025-07-16 22:58:29,8,8,0
132051,2025-07-16 22:53:29,8,8,0
132051,2025-07-16 22:48:29,8,8,0
132051,2025-07-16 22:43:29,8,8,0
132051,2025-07-16 22:38:29,8,8,0
132051,2025-07-16 22:33:29,8,8,0
132051,2025-07-16 22:28:29,8,8,0
132051,2025-07-16 22:23:29,8,8,0
132051,2025-07-16 22:18:29,8,8,0
132051,2025-07-16 22:13:29,8,8,0
132051,2025-07-16 22:08:29,8,8,0
132051,2025-07-16 22:03:29,8,8,0
132051,2025-07-16 21:58:29,8,8,0
132051,2025-07-16 21:53:29,8,8,0
132051,2025-07-16 21:48:29,8,8,0
132051,2025-07-16 21:43:29,8,8,0
132051,2025-07-16 21:38:29,8,8,0
132051,2025-07-16 21:33:29,8,8,0
132051,2025-07-16 21:28:29,8,8,0
132051,2025-07-16 21:23:29,8,8,0
